Scripture Index for Texts Explained, 1954
GENESIS
1:11, 12, 21    62
7:6    556
7:7-11    554
7:13, 14    199
7:16-20    94
7:21    39
7:22, 23    476
9:17    286
10:5-15    510
10:8    475, 759
10:14, 15    85
10:16    728
10:17-20    598
10:33    596
10:39    501
10:41, 42    155
11:16, 17    50
11:19    639
11:28, 29    668
11:28-30    233
12:1-8    254
12:3, 4    689
12:30    488
12:34    600
13:28-30, 39    151
13:44    503
13:54-56    70
15:1-6    670
15:8, 9    744
15:14    510
15:30    164
16:1-4    373
16:6, 11, 12    40
16:18    697
16:19    402
16:24    636
16:26    554
17:27    287
18:15-17    594, 734, 735
19:16, 17    246
20:26-28    568
22:21    533
22:30    244, 575
22:46    326
Chap. 23    85
23:12    327
23:38, 39    149
Chap. 24    434
24:2    439
24:3    632
24:3-16    443
24:14    369, 533, 625
24:15, 16    438, 464
24:15-20    356
24:30    374
24:31    151
24:34    221, 375, 478
24:37    575
24:40-42    376
24:45    163, 638
24:45, 46    231, 412
24:45-47    532
24:48-51    370, 377
25:1-13    380
25:15, 23    407
25:21    664
25:21, 23    174
25:31-33    370
25:34-40    277
25:40, 45    443
25:41    301
25:41-46    300
25:41, 46    519
26:17-21    287
26:26    174
26:27, 28    174
26:29    174, 175
26:39    174, 242
26:39-44    479
26:47    607
26:52-54    607
26:63-65    597
26:69-75    598
27:26    511
28:19    651
28:19, 20    138
MARK
2:1-12    511
5:43    165
6:9    286
6:14    45
9:43    164
9:47, 48    519
10:17, 18, 21    666
12:25    575
12:40    623
Chap. 13    434
13:15, 16    440
14:65    511
LUKE
1:5, 8, 9    382
1:5, 19, 23, 24    383
1:26, 36    383
1:36    71
2:6, 7    383
2:7    70
3:3    135
3:9    381
3:23    383
5:4-6    287
6:35    593
6:35, 36    666
6:36    754
6:38    233
8:15    659
8:31    244
9:62    406, 651
10:2    411
10:18    330
11:27, 28    71
12:22, 25-30    233
12:32    630
12:42-44    377
12:45, 46    377
12:47    410
14:7-11    159
14:10    31
14:12-14    95
15:7    190
16:1-8    596
16:9    132
16:10    95
16:19-23    109
16:24-31    111
17:26, 27    488
17:26-30    356
17:34, 35    376, 712
18:6-8    227
18:14    159
18:18, 19    754
19:13    407
19:41-44    439
20:27-33    575
20:34-36    575
20:38    281
Chap. 21    434
21:12, 13    340
21:20, 21    25, 464
21:20-22    438
21:21    439
21:24    407
21:25, 26    105, 431, 483
21:26-31    188
21:28    483, 749
21:29-32    483
21:34    507
22:19    175
22:20    175
22:38    607
22:39-43    278
23:43    575
24:42, 43    287
JOHN
1:12, 13    682
1:29    78
1:29-34    252
2:1-5    71
2:18-21    149
3:3    681
3:5    682
3:13    518
3:16    497
3:16, 17    562
4:14    314
4:22-24    31
4:23, 24    318
4:35, 36    411
5:22, 23    31
5:23    319
5:26    284
5:28, 29    117, 277, 280, 301, 523
5:29    502
5:39, 44    231
7:8    598
7:37    383
8:31, 32, 34, 36    298
8:44    330, 587
10:10    497
10:16    208, 631
10:30    626
10:36    309
11:38-44    63, 283
12:6    593
13:34, 35    573
14:1-3    159
14:2    158
14:6    150
14:6, 14    622
14:12    63, 165
14:27    665
14:28    626
14:30    730
15:1    661
15:8    299, 314, 659
15:16    31
16:23-26    31
16:33    455
17:3    616
17:6-19    307
17:9    624
17:17    309
17:25    614
18:36    179
18:37    469, 587
20:22    683
21:15-17    479
ACTS
1:6-8    639
1:8    63, 340
2:14-41    401
2:26, 27    279
2:27    279
2:29, 34    518
2:30, 31    183
2:38    135, 607
2:46, 47    530
4:12    77, 458
4:25-27    438
5:29    699, 750
5:40, 41    503
5:42    510, 530
7:57    326
8:5, 14, 27-39    703
8:27    703
8:28-31    515
10:9-16    479
10:34    621
10:44, 47    683
12:20-23    47
15:1, 2    535
15:29    286
15:36    16
17:11    588
17:18    402
17:22, 23    403
17:24-28    404
17:29    404
17:32-34    404
18:25, 26    607
19:2-6    607
19:4    135
19:19    735
20:20    510
20:20, 21, 24    531
20:24    405
20:29, 30    443
20:35    233
21:25    286
23:6-10    415
23:11    415
24:15    277, 500
25:10-12    723
26:5    415
26:22    471
26:24    470
ROMANS
1:20    230
1:20-32    297
1:21, 22, 24, 28, 32    73
1:21-23, 25    361
1:25    589
2:1-5    379
2:28, 29    749
3:4    299, 328
3:20    251
3:23    243
4:7, 8    254
4:17    281
5:2-5    504
5:12    247
5:13, 14    249
5:17-19    458
5:18, 19    253
6:12-20    308
6:15    658
7:7    94, 251
8:16, 17    176
8:20    497
8:24    498
8:25    503
8:28    242, 297, 337
8:29, 30    27
8:37    455
9:17    466, 614
9:19-24    281
10:5    251
10:10    509
10:17    465, 635
11:2    241
12:1, 2    298
12:2    89, 281, 552
12:9    564
12:10    568
